what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362806553966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1362806555188
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1362806555983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806576221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806578776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806580823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806622621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362806626053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362806637242
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362806663289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806695146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806717250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806753515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806813110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806877381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362806893241
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362806893413
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362806893483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362806997300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362807002993
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1362807037654
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1362807037663
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1362807038090
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1362807038098
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1362807038116
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1362807038130
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1362807038146
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1362807038148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362807038267
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1362807070802
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1362807070805
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1362807071254
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1362807084191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362807137025
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1362807137066
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362807138409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362807145602
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1362807147684
