what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362814754308
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362814760474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362814760770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362814772553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362814805698
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362814810781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362814811085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362814837470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362814842724
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362814848345
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362814849900
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362814852153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362814852455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362814900940
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1362814908629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362814911884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815040539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815079121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815089392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815233201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815568856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362815577439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815601148
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815604022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815614347
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815615933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815621514
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815624004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815625306
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815626762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815633020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815648588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815696757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815699547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815786423
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362815789210
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815789441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815820080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815827852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362815830743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362815846422
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1362815853705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815855555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815855729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815859607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815861954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362815879015
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362815885874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815886192
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362815922730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815922810
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362815924619
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362815928653
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362815938358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362815941028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815943728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815955677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815960001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815976107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815976295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815980507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815980699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815994475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815994653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815998326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362815998509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362816007782
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362816007955
