what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362834266879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834269181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834269412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834271055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834271481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834271869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834272839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834273467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834274822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834275568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834276114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834278045
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362834282201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834282492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834286723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834290322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834291431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834292845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834293776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362834294196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834303233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834320382
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362834324559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834324848
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362834349322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834349393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834349538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834365113
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362834365884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834380692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834389317
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362834404530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834404722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834464029
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362834464743
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362834476688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362834480590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362834500388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834502486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834587189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362834590050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835284714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362835289958
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1362835294049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835296230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835321844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362835324078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835332378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835340627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835353447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835363251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835368028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835382816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362835386236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362835397082
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835399109
error,log,,,"Core exception while retrieving the content description",1362835400873
error,log,,,"Core exception while retrieving the content description",1362835400876
error,log,,,"Core exception while retrieving the content description",1362835400879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835402487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835403761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362835403809
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835406020
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835409248
error,log,,,"Core exception while retrieving the content description",1362835410096
error,log,,,"Core exception while retrieving the content description",1362835410099
error,log,,,"Core exception while retrieving the content description",1362835410102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835411498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835412973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362835413022
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835414047
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835417366
error,log,,,"Core exception while retrieving the content description",1362835417372
error,log,,,"Core exception while retrieving the content description",1362835417375
error,log,,,"Core exception while retrieving the content description",1362835417377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362835422928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835427013
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362835429601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835429931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835461907
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835464900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835465127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835471342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835479955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835489636
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835512110
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362835514561
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835517700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362835520511
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362835524344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835524643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835557008
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835573109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362835575667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835577192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835594306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835599753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835602012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362835602070
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835616597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362835638983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362835678382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835695878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835711293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835723257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835725023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835730854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362835748866
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362835756464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835756757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835789573
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835793195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835793387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835796058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835797731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835810449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835810674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835816888
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835818840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362835827800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362835829319
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1362835847644
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835853010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835853193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835856616
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835857302
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835872960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362835882971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362835884801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835895651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835898315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362835911309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362835914304
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362835917757
error,log,,,"Core exception while retrieving the content description",1362835918453
error,log,,,"Core exception while retrieving the content description",1362835918456
error,log,,,"Core exception while retrieving the content description",1362835918459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835919918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835921356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362835921405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835922473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362835928257
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362835933822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835934114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835969380
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362835969535
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362835969710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362835995651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836025529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362836054683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362836065056
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362836071207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362836075268
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362836080161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836080470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836088571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836090103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836126834
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362836130337
error,log,,,"Core exception while retrieving the content description",1362836130346
error,log,,,"Core exception while retrieving the content description",1362836130348
error,log,,,"Core exception while retrieving the content description",1362836130350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362836132028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362836139792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836141683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836145209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836150775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836151456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362836153969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362836156093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362836158715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362836162198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362836164982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836171076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836179201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1362836182660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836190521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836223782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362836231227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362836233242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362836250655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836259365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362836322861
