what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362900612854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900613127
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362900628852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900628910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900630051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900635074
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362900635612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362900638738
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362900641851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900642136
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362900661923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900662009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900662133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900669638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362900669824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362900677795
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362900681490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900681768
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362900702515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900702587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900702713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900712078
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362900712959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362900719300
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362900722971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900723250
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362900743647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900743717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900743849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900747602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900747781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900750922
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362900751403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362900754467
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362900757707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900757997
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362900782620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900782690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900782838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362900786404
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362900786576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362900790189
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362900793749
